,probability,prediction,y_true
0,0.9999999999999998,1,1
1,0.9999999999999998,1,1
2,0.9999999999999998,1,1
3,0.999999999998181,1,1
4,0.9999999999999998,1,1
5,4.139856463549018e-05,0,0
6,2.2204460492503974e-16,0,1
7,0.9999999999999991,1,1
8,0.9999999999996999,1,1
9,9.587861331978328e-11,0,1
10,0.999999733618059,1,1
11,0.9999999999999998,1,1
12,0.0007395486427640757,0,0
13,3.969401298577109e-15,0,0
14,0.9470243419485608,1,0
15,0.999999999999998,1,1
16,0.9999999999999998,1,1
17,4.565742569156304e-16,0,0
18,9.388206128603568e-16,0,0
19,0.9999999999999832,1,0
20,2.2204460492503974e-16,0,0
21,0.9869423622067104,1,1
22,0.9999999999041214,1,1
23,0.9999999999993832,1,1
24,0.9999999999996999,1,1
25,0.9968805820085894,1,1
26,0.9999999999999998,1,1
27,2.2204460492503974e-16,0,0
28,0.9999999999533716,1,1
29,0.9735157900194041,1,1
30,0.9999148788486228,1,1
31,0.999824987269581,1,0
32,0.9999999999999998,1,1
33,0.9999999999999998,1,1
34,0.9999999999999998,1,1
35,0.9999999999999998,1,1
36,0.9470243419485608,1,1
37,0.9999999999999996,1,1
38,0.9999999999999918,1,0
39,0.9968805820085894,1,1
40,0.999999999999998,1,1
41,0.0003597995058484472,0,1
42,1.295488741088829e-07,0,0
43,0.999824987269581,1,0
44,0.9999999999999998,1,1
45,8.512115137717612e-05,0,0
46,0.9999798663124967,1,0
47,0.9999999999999998,1,1
48,0.9999999369968191,1,1
49,0.00311941799141052,0,1
50,0.1912750950955673,0,0
51,7.095937626795276e-14,0,0
52,0.9999999999999998,1,0
53,0.9999999999999998,1,1
54,0.0031194179914105225,0,0
55,0.0529756580514392,0,1
56,0.9999999999999998,1,1
57,0.9999999999999998,1,1
58,0.999999999999996,1,1
59,0.9968805820085894,1,0
60,0.9999999999999998,1,1
61,0.9999999999999998,1,1
62,0.9999999999999998,1,1
63,0.9999999998028517,1,1
64,0.9999999999999991,1,1
65,0.9999999999999991,1,0
66,0.9735157900194044,1,1
67,0.9999999999998541,1,0
68,0.999999999999998,1,1
69,0.9984805065543191,1,1
70,2.2204460492503974e-16,0,1
71,0.9999999999773234,1,0
72,0.013057637793289577,0,1
73,0.999999999999996,1,0
74,0.999260451357236,1,1
75,0.999999985098839,1,0
76,0.9984805065543191,1,1
77,0.9999988737188994,1,0
78,0.9999999999999996,1,0
79,2.2204460492503974e-16,0,0
80,1.9304289056629065e-15,0,0
81,0.999999999166443,1,1
82,4.565742569156304e-16,0,0
83,0.9999994522582407,1,1
84,0.9999976841124107,1,1
85,0.9470243419485608,1,1
86,0.00311941799141052,0,0
87,0.00017501273041901634,0,1
88,0.9999999999999832,1,0
89,0.999999985098839,1,1
90,1.268511974875436e-12,0,1
91,0.999995238019545,1,0
92,0.9999999999999998,1,1
93,6.300318085943857e-08,0,0
94,2.2204460492503974e-16,0,0
95,0.9999999999999991,1,1
96,5.3633601684239335e-12,0,1
97,0.9999999999999998,1,1
98,0.00311941799141052,0,1
99,0.9999999999999991,1,0
100,0.9999999995946183,1,1
